Feature,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9
osmid,-0.19809632,-0.19699427,0.020404473,-0.06640423,-0.07513658,-0.068251975,0.029682161,-0.03457906,0.05398726,0.032474566
lanes,0.0072218725,-0.009572134,-0.002012125,0.006170353,0.0033725698,0.042140704,0.012936743,0.02789115,0.013743944,0.0024782587
maxspeed,-0.27296132,0.11918347,-0.20906068,-0.031537745,-0.08367515,-0.28572503,0.09038576,-0.10039838,-0.10217407,0.18134356
oneway,-0.077602595,0.24589927,0.066981696,0.07593934,0.1670554,-0.01010729,0.09077176,-0.023619933,0.0053405575,0.06335441
reversed,0.004145092,0.002115401,0.0021713835,0.001670215,0.0006633274,0.010231476,0.00019421769,0.0061506485,0.008416617,-0.0076214187
length,-7.918685e-07,-1.6241088e-06,8.5512653e-07,-6.943101e-07,-3.8990194e-07,-4.8424477e-07,5.207474e-07,8.759536e-07,5.550553e-07,3.4135562e-07
bc,-0.05760703,-0.04328014,-0.04529693,-0.03968862,0.025904415,-0.12383131,-0.0038335528,0.05615005,-0.05021207,0.06712488
natural,-0.09681017,-0.06477062,-0.06186268,-2.8625916e-06,-0.025951862,-0.061533235,-0.0025286486,-0.050217133,-0.09605885,0.3412955
power,0.0016532938,-0.20701021,-0.072529495,-0.14758484,-0.19902517,-0.11179493,0.042341217,0.10745548,0.15254825,0.0055412897
military,-0.112518,-0.24555577,-0.13531096,-0.17742434,-0.050613604,0.019700697,0.01626283,-0.12286133,-0.04821181,0.2758262
barrier,-0.051138252,0.053538404,0.0032775525,0.016373701,-0.064722225,-0.12583716,0.00020979145,-0.008422361,-0.07006009,-0.07539199
shop,-0.044824764,0.113816485,0.06351086,0.08938375,0.04464352,-0.10760429,0.11630543,-0.23488751,-0.0413613,0.16566943
building,-1.3e-42,4.2e-43,-1.49e-42,-2.668e-42,3.98e-43,1.29e-43,2.466e-42,-1.293e-42,5.47e-43,-2.976e-42
service,0.06138043,0.26755643,0.21790834,-0.0055664503,-0.07726413,-0.0984949,-0.18400927,-0.1640831,-0.12664622,-0.30774036
aeroway,-0.08970099,-0.10314438,-0.20467138,0.43965092,0.040155344,-0.033364106,-0.19972357,-0.111845195,-0.23451069,0.34881184
landuse,-0.016068699,0.079346634,0.36874726,0.07176192,-0.014583957,-0.19925106,-0.20134419,-0.09295726,-0.2126284,-0.25854674
place,-0.1385234,-0.21755953,-0.0015935509,0.061149515,-0.10805029,-0.24974859,-0.0043611154,0.085367955,-0.0072270883,-0.208378
historic,0.032792207,-0.13959818,0.04389305,0.07070951,-0.0946996,0.03310639,-0.11731705,0.0032958968,0.025891932,-0.2005494
leisure,0.09366133,0.27897763,-0.031762205,0.13601135,0.22847846,0.13091323,-0.076770134,-0.21607192,0.113518134,-0.27412257
railway,0.20957693,-0.007252506,-0.26519835,-0.048842955,-0.15874653,0.051657166,-0.02145879,0.0381043,0.06846372,-0.094289325
public_transport,0.4283262,0.2584804,0.12629372,0.026267288,0.2849271,-0.005420907,-0.3811364,-0.24899198,-0.22532207,-0.056790367
office,-0.053131215,0.007256799,-0.4044299,-0.13578705,-0.11591836,-0.06595865,0.18134826,-0.0615179,0.12540084,-0.10397215
tourism,-0.037025116,-0.10908194,0.0032346968,-0.015408725,0.28788957,0.03719673,-0.1235664,-0.032851,-0.061720714,0.14929973
water,0.015378284,0.028375711,-0.0059448006,0.047721993,0.071849756,0.10490794,0.025745023,-0.11635518,0.030749654,0.09231373
width,-0.28852355,-0.23066199,0.061462875,-0.034391776,-0.025489122,-0.14571412,0.037260484,0.103271216,0.027969312,-0.06265418
emergency,-0.05151629,0.42899495,-0.18682079,-0.12363267,-0.18477407,-0.10258285,0.313052,-0.18471844,0.09524726,-0.24594788
healthcare,0.07353614,0.8367459,-0.14522542,0.08375944,-0.037065525,-0.09343809,-0.07965843,-0.40254706,-0.22739892,-0.073938556
boundary,1.167e-42,2.235e-42,1.52e-42,1.135e-42,1.366e-42,1.899e-42,8.21e-43,-2.672e-42,-9.87e-43,6.75e-43
waterway,-0.16036786,-0.15846711,-0.23808219,0.34458542,0.2542803,0.0184496,-0.17127742,-0.18153666,-0.20350882,0.07402605
route,-0.07253777,0.19309236,-0.15596825,-0.27147403,-0.29653078,-0.17703414,0.4769883,-0.08183542,0.09792148,-0.052652124
craft,2.38e-43,3.056e-42,-5e-44,1.548e-42,1.205e-42,7.7e-43,6e-43,-6.77e-43,-6.85e-43,-2.77e-43
