Feature,Avg_Gradient,Gradient_Trend_Slope,Abs_Avg_Gradient,Primary_Category
drag_lift,-5.545184e-30,6.184796453210599e-32,5.545184e-30,aerialway
kerb,0.04147343,0.00015586440902993546,0.04147343,barrier
cycle_barrier,0.026529836,0.001771588906448222,0.026529836,barrier
retaining_wall,0.021433782,0.0031335770286563228,0.021433782,barrier
wall,0.013502574,0.002365438432686708,0.013502574,barrier
bollard,-0.011656166,-0.0057380162003083214,0.011656166,barrier
fence,-0.002860249,-0.0038235078001338427,0.002860249,barrier
bc,-4.112037e-09,-7.39367203421311e-09,4.112037e-09,bc
shed,-0.08376712,0.004285565909054696,0.08376712,building
garage,-0.049226534,0.00800244587642903,0.049226534,building
school,-0.044444185,-0.0021203135097907343,0.044444185,building
transportation,0.030990124,-0.0032719981334539084,0.030990124,building
train_station,-0.020458803,2.4971705649725466e-05,0.020458803,building
supermarket,-0.019287951,0.004104039019368815,0.019287951,building
carport,0.010360935,0.004946901568098728,0.010360935,building
terrace,-0.009859153,0.0012941052636244533,0.009859153,building
apartments,-0.008476382,0.0013883546665028642,0.008476382,building
allotment_house,-0.004756626,-0.0035687635624499035,0.004756626,building
detached,0.0019368312,-0.003223088318764261,0.0019368312,building
confectionery,0.08294038,0.0011505356756970288,0.08294038,craft
bakery,-0.030669602,-0.0010599405380410393,0.030669602,craft
electronics_repair,-0.00594192,7.157598791474649e-05,0.00594192,craft
furniture,0.0015724932,0.002120285974744933,0.0015724932,craft
defibrillator,0.09021215,0.0045551761984825145,0.09021215,emergency
life_ring,-0.011850561,-0.0007805985589088364,0.011850561,emergency
fire_hydrant,-0.0076283067,0.0008500230696165201,0.0076283067,emergency
life_board,-8.851489e-31,2.7144603782506665e-32,8.851489e-31,emergency
dentist,0.03678828,-0.003170693826607683,0.03678828,healthcare
pharmacy,0.007219726,-0.0012314205678800743,0.007219726,healthcare
clinic,-0.0027393643,-0.0001378558235900886,0.0027393643,healthcare
bus_stop,0.061549574,0.0011992671752743646,0.061549574,highway
tertiary_link,0.03968244,0.0012609107666790036,0.03968244,highway
path,0.03573982,-0.0021843075216042276,0.03573982,highway
cycleway,-0.032200348,0.0012575937858359384,0.032200348,highway
pedestrian,-0.022921508,-0.0004281688890786782,0.022921508,highway
tertiary,-0.017145174,-0.0007191155380992724,0.017145174,highway
street_lamp,0.015376202,-0.0020989594783521063,0.015376202,highway
steps,-0.0104798395,-0.0015049272232731295,0.0104798395,highway
service,-0.009780775,-0.0003143698146397417,0.009780775,highway
footway,-0.009669298,-0.001620681008154696,0.009669298,highway
traffic_signals,0.009396056,0.004296213552129991,0.009396056,highway
living_street,0.007908867,0.0004997024679500051,0.007908867,highway
unclassified,0.004520655,-0.0005073516544970599,0.004520655,highway
primary,0.0022661735,-3.0441034698124428e-05,0.0022661735,highway
secondary,-0.0019175734,0.0026360850216764387,0.0019175734,highway
give_way,0.0006434123,0.0038855496285109307,0.0006434123,highway
emergency_access_point,7.899283e-30,-1.1487692327783208e-31,7.899283e-30,highway
church,0.09169199,-0.001265074005773799,0.09169199,historic
house,-0.020906905,-0.0015343779246463924,0.020906905,historic
fort,2.3605907e-30,5.95621952325151e-32,2.3605907e-30,historic
retail,0.07023913,-0.006942605828358369,0.07023913,landuse
flowerbed,-0.04367508,-0.0002245382434039401,0.04367508,landuse
industrial,0.043581095,0.0016081474552100358,0.043581095,landuse
hedge,-0.023995245,0.0008034151312048464,0.023995245,landuse
residential,0.0061293775,-0.001037728285353461,0.0061293775,landuse
lanes,0.0037883052,-0.0016180745608201537,0.0037883052,lanes
park,0.03171882,-0.0017703732186363957,0.03171882,leisure
pitch,-0.023856312,-0.0017487309731994624,0.023856312,leisure
picnic_table,0.012226463,0.0052044409355430895,0.012226463,leisure
fishing,-0.0063955183,0.00010573638790061319,0.0063955183,leisure
tanning_salon,-0.0011248953,5.360100582369014e-05,0.0011248953,leisure
garden,0.0008499677,-0.0007410767449376484,0.0008499677,leisure
length,0.00017292453,0.0001596332019702955,0.00017292453,length
maxspeed,-0.0004841229,-0.0005397235408467666,0.0004841229,maxspeed
bunker,0.047245633,0.0014667746314609587,0.047245633,military
office,-0.007280031,-8.362180652153705e-06,0.007280031,military
coastline,0.08017409,-0.00028190975783879606,0.08017409,natural
scrub,-0.06336278,0.0011985638454048472,0.06336278,natural
grass,-0.020333754,-0.0035920728491901457,0.020333754,natural
water,-0.008523159,0.00022239239293743253,0.008523159,natural
wood,0.007533354,-0.0013369187005358104,0.007533354,natural
tree,-0.00017708563,0.0009991311660445667,0.00017708563,natural
company,-0.1633893,0.0019692597628542872,0.1633893,office
advertising_agency,0.014541779,-0.0030691733520308686,0.014541779,office
vacant,-0.009469448,0.002406145019851851,0.009469448,office
